Company,Previous Closing Price,Opening Price,High,Low,Close,Change,Trades,Volume,Value,Trade Date,"Previous
Closing
Price"
VANLEER,5.45,5.45,--,--,--,,0,--,--,13 Nov 25,
VERITASKAP,1.68,1.84,1.84,1.84,1.84,0.16,18,"4,510,777","8,299,724.68",13 Nov 25,
VFDGROUP,10.25,10.25,10.25,10.20,10.20,-0.05,162,"6,391,459","65,597,127.80",13 Nov 25,
VITAFOAM,84.6,84.6,85.00,85.00,85.00,0.4,104,"297,260","25,368,316.30",13 Nov 25,
WAPCO,134.95,134.95,134.50,134.00,134.00,-0.95,174,"8,616,925","1,155,585,734.65",13 Nov 25,
WAPIC,2.86,2.86,3.00,2.70,3.00,0.14,77,"6,019,473","17,639,486.53",13 Nov 25,
WEMABANK,19.8,19.8,19.90,19.50,19.90,0.1,142,"874,741","17,145,565.35",13 Nov 25,
ZENITHBANK,59.4,65.0,65.00,62.15,64.30,4.9,968,"18,932,670","1,218,310,471.20",13 Nov 25,
ABBEYBDS,,6.5,--,--,--,,9,"6,149","42,793.30",01 Sep 25,6.5
ABCTRANS,,4.51,--,--,--,,21,"16,781","73,478.31",01 Sep 25,4.51
ACADEMY,,9.55,--,--,--,,19,"77,745","786,003.45",01 Sep 25,9.55
ACCESSCORP,,26.5,--,--,--,,96,"69,675","1,902,098.20",01 Sep 25,26.5
AFRINSURE [MRF],,0.2,--,--,--,,0,--,--,01 Sep 25,0.2
AFRIPRUD,,16.05,--,--,--,,15,"130,510","2,089,956.90",01 Sep 25,16.05
AFROMEDIA [MRF],,0.24,--,--,--,,0,--,--,01 Sep 25,0.24
AIICO,,4.04,4.04,4.04,4.04,0.0,60,"2,145,489","8,667,310.97",01 Sep 25,4.04
AIRTELAFRI,,2310.5,--,--,--,,0,--,--,01 Sep 25,2310.5
ALEX [BLS],,7.15,--,--,--,,0,--,--,01 Sep 25,7.15
ARADEL,,510.0,--,--,--,,21,"2,776","1,422,075.00",01 Sep 25,510.0
ASOSAVINGS [DWL],,0.5,--,--,--,,0,--,--,01 Sep 25,0.5
AUSTINLAZ [RST],,2.9,--,--,--,,9,"12,491","34,974.59",01 Sep 25,2.9
AVAIF,,1000000.0,--,--,--,,0,--,--,01 Sep 25,1000000.0
BAPLC,,6.25,--,--,--,,0,--,--,01 Sep 25,6.25
BERGER,,36.9,--,--,--,,29,"5,167","190,884.20",01 Sep 25,36.9
BETAGLAS,,486.0,--,--,--,,38,"1,935","890,031.50",01 Sep 25,486.0
BUACEMENT,,151.8,--,--,--,,58,"4,077","577,959.80",01 Sep 25,151.8
BUAFOODS,,590.0,--,--,--,,56,"2,467","1,349,600.00",01 Sep 25,590.0
CADBURY,,60.0,--,--,--,,47,"5,196","314,009.00",01 Sep 25,60.0
CAP,,70.2,--,--,--,,1,280,"19,264.00",01 Sep 25,70.2
CAVERTON,,6.9,--,--,--,,20,"37,636","258,560.74",01 Sep 25,6.9
CHAMPION [BLS],,17.3,--,--,--,,26,"43,030","708,492.30",01 Sep 25,17.3
CHAMS,,2.93,--,--,--,,44,"111,620","331,760.65",01 Sep 25,2.93
CHELLARAM,,10.5,--,--,--,,4,"1,800","19,595.00",01 Sep 25,10.5
CILEASING,,6.9,--,--,--,,6,"9,044","62,846.75",01 Sep 25,6.9
CNIF,,100.0,--,--,--,,0,--,--,01 Sep 25,100.0
CONHALLPLC,,4.3,4.40,4.40,4.40,0.1,22,"672,887","2,955,506.80",01 Sep 25,4.3
CONOIL,,211.1,--,--,--,,9,797,"174,974.20",01 Sep 25,211.1
CORNERST,,6.39,--,--,--,,9,"32,392","220,386.80",01 Sep 25,6.39
CUSTODIAN,,40.75,--,--,--,,50,"214,640","9,528,389.10",01 Sep 25,40.75
CUTIX,,3.5,3.40,3.35,3.39,-0.11,60,"1,052,378","3,534,613.79",01 Sep 25,3.5
CWG,,15.7,--,--,--,,20,"69,483","1,138,409.20",01 Sep 25,15.7
DAARCOMM,,1.09,--,--,--,,7,"39,010","44,421.00",01 Sep 25,1.09
DANGCEM,,520.2,--,--,--,,60,"1,601","831,669.00",01 Sep 25,520.2
DANGSUGAR,,58.0,--,--,--,,39,"6,310","373,875.30",01 Sep 25,58.0
